ID: 1, fecha: 2025-06-18 14:03:42, temp: 20.0°C, humedad: 16.0, gas: 303.0
ID: 24, fecha: 2025-06-18 15:09:29, temp: 22.0°C, humedad: 16.0, gas: 371.0
ID: 25, fecha: 2025-06-18 15:09:30, temp: 22.0°C, humedad: 16.0, gas: 371.0
ID: 26, fecha: 2025-06-18 15:09:34, temp: 22.0°C, humedad: 16.0, gas: 347.0
ID: 27, fecha: 2025-06-18 15:09:35, temp: 22.0°C, humedad: 16.0, gas: 347.0
ID: 28, fecha: 2025-06-18 15:09:39, temp: 20.0°C, humedad: 16.0, gas: 365.0
ID: 29, fecha: 2025-06-18 15:09:40, temp: 20.0°C, humedad: 16.0, gas: 365.0
ID: 30, fecha: 2025-06-18 15:09:44, temp: 22.0°C, humedad: 16.0, gas: 374.0
ID: 31, fecha: 2025-06-18 15:09:45, temp: 22.0°C, humedad: 16.0, gas: 374.0
ID: 32, fecha: 2025-06-18 15:09:49, temp: 22.0°C, humedad: 16.0, gas: 358.0
ID: 33, fecha: 2025-06-18 15:11:15, temp: 20.0°C, humedad: 16.0, gas: 314.0
ID: 34, fecha: 2025-06-18 15:11:16, temp: 20.0°C, humedad: 16.0, gas: 314.0
ID: 35, fecha: 2025-06-18 15:11:20, temp: 20.0°C, humedad: 16.0, gas: 321.0
ID: 36, fecha: 2025-06-18 15:11:21, temp: 20.0°C, humedad: 16.0, gas: 321.0
ID: 37, fecha: 2025-06-18 15:11:25, temp: 20.0°C, humedad: 16.0, gas: 337.0
ID: 38, fecha: 2025-06-18 15:11:26, temp: 20.0°C, humedad: 16.0, gas: 337.0
ID: 39, fecha: 2025-06-18 15:11:30, temp: 20.0°C, humedad: 16.0, gas: 365.0
ID: 40, fecha: 2025-06-18 15:11:31, temp: 20.0°C, humedad: 16.0, gas: 365.0
ID: 41, fecha: 2025-06-18 15:11:35, temp: 20.0°C, humedad: 16.0, gas: 382.0
ID: 42, fecha: 2025-06-19 17:56:41, temp: 20.0°C, humedad: 16.0, gas: 374.0
ID: 43, fecha: 2025-06-19 17:56:45, temp: 20.0°C, humedad: 16.0, gas: 377.0
ID: 44, fecha: 2025-06-19 17:56:49, temp: 20.0°C, humedad: 16.0, gas: 402.0
ID: 45, fecha: 2025-06-19 17:56:53, temp: 20.0°C, humedad: 16.0, gas: 390.0
ID: 46, fecha: 2025-06-19 17:56:57, temp: 20.0°C, humedad: 16.0, gas: 451.0
ID: 47, fecha: 2025-06-19 17:57:01, temp: 20.0°C, humedad: 16.0, gas: 473.0
ID: 48, fecha: 2025-06-19 17:57:05, temp: 20.0°C, humedad: 16.0, gas: 442.0
ID: 49, fecha: 2025-06-19 17:57:09, temp: 20.0°C, humedad: 16.0, gas: 424.0
ID: 50, fecha: 2025-06-19 17:57:13, temp: 20.0°C, humedad: 16.0, gas: 464.0
ID: 51, fecha: 2025-06-19 17:57:17, temp: 20.0°C, humedad: 16.0, gas: 508.0
ID: 52, fecha: 2025-06-19 17:57:21, temp: 20.0°C, humedad: 16.0, gas: 441.0
ID: 53, fecha: 2025-06-19 17:57:25, temp: 20.0°C, humedad: 16.0, gas: 457.0
ID: 54, fecha: 2025-06-19 17:57:29, temp: 20.0°C, humedad: 16.0, gas: 523.0
ID: 55, fecha: 2025-06-19 17:57:32, temp: 20.0°C, humedad: 16.0, gas: 478.0
ID: 56, fecha: 2025-06-19 17:57:37, temp: 20.0°C, humedad: 16.0, gas: 439.0
ID: 57, fecha: 2025-06-19 17:57:41, temp: 20.0°C, humedad: 16.0, gas: 443.0
ID: 58, fecha: 2025-06-19 17:57:48, temp: 20.0°C, humedad: 16.0, gas: 410.0
ID: 59, fecha: 2025-06-19 17:57:52, temp: 20.0°C, humedad: 16.0, gas: 467.0
ID: 60, fecha: 2025-06-19 17:57:56, temp: 20.0°C, humedad: 16.0, gas: 400.0
ID: 61, fecha: 2025-06-19 17:58:00, temp: 20.0°C, humedad: 16.0, gas: 398.0
ID: 62, fecha: 2025-06-19 17:58:04, temp: 20.0°C, humedad: 16.0, gas: 435.0
ID: 63, fecha: 2025-06-19 17:58:08, temp: 20.0°C, humedad: 16.0, gas: 390.0
ID: 64, fecha: 2025-06-19 17:58:12, temp: 20.0°C, humedad: 16.0, gas: 461.0
ID: 65, fecha: 2025-06-19 17:58:16, temp: 20.0°C, humedad: 16.0, gas: 488.0
ID: 66, fecha: 2025-06-19 17:58:22, temp: 20.0°C, humedad: 16.0, gas: 518.0
ID: 67, fecha: 2025-06-19 17:58:26, temp: 20.0°C, humedad: 16.0, gas: 534.0
ID: 68, fecha: 2025-06-19 17:58:30, temp: 20.0°C, humedad: 16.0, gas: 531.0
ID: 69, fecha: 2025-06-19 17:58:34, temp: 20.0°C, humedad: 16.0, gas: 530.0
ID: 70, fecha: 2025-06-19 17:58:38, temp: 20.0°C, humedad: 16.0, gas: 531.0
ID: 71, fecha: 2025-06-19 17:58:42, temp: 20.0°C, humedad: 16.0, gas: 556.0
ID: 72, fecha: 2025-06-19 17:58:46, temp: 20.0°C, humedad: 16.0, gas: 531.0
ID: 73, fecha: 2025-06-19 17:58:50, temp: 20.0°C, humedad: 16.0, gas: 538.0
ID: 74, fecha: 2025-06-19 17:58:54, temp: 20.0°C, humedad: 16.0, gas: 548.0
ID: 75, fecha: 2025-06-19 17:59:00, temp: 20.0°C, humedad: 16.0, gas: 529.0
ID: 76, fecha: 2025-06-19 17:59:03, temp: 20.0°C, humedad: 16.0, gas: 528.0
ID: 77, fecha: 2025-06-19 17:59:07, temp: 20.0°C, humedad: 16.0, gas: 512.0
ID: 78, fecha: 2025-06-19 17:59:11, temp: 20.0°C, humedad: 16.0, gas: 406.0
ID: 79, fecha: 2025-06-19 17:59:15, temp: 20.0°C, humedad: 16.0, gas: 389.0
ID: 80, fecha: 2025-06-19 17:59:19, temp: 20.0°C, humedad: 16.0, gas: 328.0
ID: 81, fecha: 2025-06-19 17:59:23, temp: 20.0°C, humedad: 16.0, gas: 347.0
ID: 82, fecha: 2025-06-19 17:59:27, temp: 20.0°C, humedad: 16.0, gas: 340.0
ID: 83, fecha: 2025-06-19 17:59:31, temp: 20.0°C, humedad: 16.0, gas: 368.0
ID: 84, fecha: 2025-06-19 17:59:35, temp: 20.0°C, humedad: 16.0, gas: 368.0
ID: 85, fecha: 2025-06-19 17:59:39, temp: 20.0°C, humedad: 16.0, gas: 342.0
